id,displayname,total
-1,Community,1243
1491895,Barmar,645
224132,Peter Cordes,405
21688343,Sam Nseir,317
11107541,starball,305
134204,Panagiotis Kanavos,292
1427878,CBroe,281
16343464,mozway,277
5947043,ADyson,270
14868997,Charlieface,264
3358272,r2evans,259
1048572,Bergi,249
5924562,Naren Murali,248
2887218,jcalz,238
14122,Charles Duffy,230
440558,Some programmer dude,219
22192445,taller,210
6309,VonC,208
5133585,Sweeper,207
494134,John Gordon,203
5053002,Jaromanda X,200
1883316,Tim Roberts,193
45375,mklement0,186
874188,tripleee,184
4117728,463035818_is_not_an_ai,177
6243352,ggorlen,173
295783,mplungjan,172
1832058,furas,168
2402272,John Bollinger,164
8690857,Drew Reese,162
10008173,David Maze,162
584518,Lundin,159
5459839,trincot,154
16649550,Pepijn Kramer,154
159145,Dai,153
283366,Phil,153
2943403,mickmackusa,153
7884305,Chayim Friedman,153
2752075,HolyBlackCat,152
7582247,Ted Lyngmo,152
13061224,siggemannen,151
298225,Eric Postpischil,150
2836621,Mark Setchell,149
2501279,Guru Stron,148
12671057,Kelly Bundy,147
1745001,Ed Morton,146
775806,n. m. could be an AI,143
8016720,John Hanley,142
1126841,chepner,138
65863,Remy Lebeau,137
12002570,user12002570,137
5015238,jdweng,131
8162520,Mayukh Bhattacharya,130
7215091,Cooper,129
7108653,Tanaike,128
10035985,Andrej Kesely,128
2001654,musicamante,126
209103,Frank van Puffelen,125
1509264,MT0,125
2029983,Thom A,125
901925,hpaulj,124
4136999,toyota Supra,124
3001761,jonrsharpe,123
328193,David,122
12738750,lorem ipsum,122
982149,Fildor,120
174777,John Rotenstein,119
207421,user207421,118
13625293,Dhafin Rayhan,117
478884,Tim Williams,114
4581301,user4581301,114
3025856,Jeremy Caney,111
7070613,Adrian Klaver,111
523612,Karl Knechtel,110
1127428,Dale K,110
2696260,M. Deinum,108
67579,willeM_ Van Onsem,107
6464308,Laurenz Albe,107
1116230,Nico Haase,106
2410359,chux - Reinstate Monica,106
17580381,CtrlZ,105
51685,AKX,104
9473764,Nick,104
20287183,HangarRash,104
12500315,Allan Cameron,103
12993861,stefan,103
3133316,PaulMcKenzie,100
6752050,273K,100
15339544,Santiago Squarzon,100
2602877,Christoph Rackwitz,98
9706,Allan Wind,97
182668,Pointy,96
466862,Mark Rotteveel,96
19090048,mandy8055,95
1338,Jason,94
150978,Robert,94
487892,drescherjm,93
642706,Basil Bourque,93
893254,FreelanceConsultant,93
2308683,OneCricketeer,93
