             tagname             | average_total | tag_count 
---------------------------------+---------------+-----------
 hidden-features                 |       158.000 |         2
 info.plist                      |       101.000 |         1
 array-difference                |        84.000 |         1
 developer-mode                  |        73.000 |         1
 mobile-devices                  |        73.000 |         1
 usb-debugging                   |        73.000 |         1
 android-sdk-tools               |        61.000 |         2
 undo                            |        61.000 |         2
 hosting                         |        54.000 |         1
 http-error                      |        54.000 |         1
 iis-manager                     |        53.000 |         1
 software-quality                |        49.000 |         1
 angular-cli-v6                  |        48.000 |         1
 ionic-serve                     |        48.000 |         1
 javascript-objects              |        46.500 |         2
 addition                        |        46.000 |         2
 json.net                        |        46.000 |         1
 xcode10                         |        45.750 |         4
 http2                           |        45.000 |         1
 docker-network                  |        44.000 |         1
 lamp                            |        43.000 |         1
 android-progressbar             |        42.000 |         1
 git-filter-branch               |        42.000 |         1
 git-rewrite-history             |        42.000 |         1
 ngx-bootstrap                   |        42.000 |         1
 progress-indicator              |        42.000 |         1
 countable                       |        40.000 |         1
 dml                             |        40.000 |         1
 gdi+                            |        40.000 |         1
 sqldatatypes                    |        40.000 |         1
 flashing                        |        39.000 |         1
 nsurl                           |        39.000 |         1
 session-cookies                 |        39.000 |         1
 shared-hosting                  |        39.000 |         1
 uitoolbar                       |        39.000 |         1
 time-format                     |        38.500 |         2
 aggregate-functions             |        38.000 |         1
 let                             |        38.000 |         1
 matching                        |        38.000 |         1
 var                             |        38.000 |         1
 clone                           |        37.600 |         5
 binary-semaphore                |        37.000 |         1
 development-process             |        37.000 |         1
 git-fetch                       |        37.000 |         1
 heidisql                        |        37.000 |         1
 semaphore                       |        37.000 |         1
 code-golf                       |        36.750 |         4
 rosetta-stone                   |        36.750 |         4
 httpwebrequest                  |        36.000 |         2
 array-merge                     |        36.000 |         1
 browser-tab                     |        36.000 |         1
 pull                            |        36.000 |         1
 rmdir                           |        36.000 |         1
 docker-container                |        35.500 |         2
 jsx                             |        35.500 |         2
 git-commit                      |        35.000 |         5
 android-8.0-oreo                |        35.000 |         1
 flutter-packages                |        35.000 |         1
 foreground                      |        35.000 |         1
 git-rm                          |        35.000 |         1
 hint                            |        35.000 |         1
 junit4                          |        35.000 |         1
 regex-negation                  |        35.000 |         1
 iis-express                     |        34.750 |         4
 sql-update                      |        34.500 |         2
 deep-copy                       |        34.333 |         3
 .net-3.0                        |        34.000 |         1
 android-service                 |        34.000 |         1
 default-parameters              |        34.000 |         1
 ecmascript-2017                 |        34.000 |         1
 internet-connection             |        34.000 |         1
 iphone-softkeyboard             |        34.000 |         1
 least-astonishment              |        34.000 |         1
 list-processing                 |        34.000 |         1
 variable-expansion              |        34.000 |         1
 authorized-keys                 |        33.000 |         2
 pg                              |        33.000 |         2
 rails-postgresql                |        33.000 |         2
 android-room                    |        33.000 |         1
 angular-schematics              |        33.000 |         1
 base-class                      |        33.000 |         1
 derived-class                   |        33.000 |         1
 github-pages                    |        33.000 |         1
 illegalstateexception           |        33.000 |         1
 ios-statusbar                   |        33.000 |         1
 siblings                        |        33.000 |         1
 stringbuffer                    |        33.000 |         1
 swashbuckle                     |        33.000 |         1
 terminal-color                  |        33.000 |         1
 variable-names                  |        33.000 |         1
 windows-8                       |        32.333 |         3
 array-of-dict                   |        32.000 |         2
 flutter-plugin                  |        32.000 |         2
 ionic3                          |        32.000 |         2
 lowercase                       |        32.000 |         2
 android-orientation             |        32.000 |         1
 clipboard-interaction           |        32.000 |         1
 clipboardmanager                |        32.000 |         1
 flatten                         |        32.000 |         1
 laravel-mix                     |        32.000 |         1
 load-balancing                  |        32.000 |         1
 public-key                      |        32.000 |         1
 punctuation                     |        32.000 |         1
 rbenv                           |        32.000 |         1
