               tagname               | round  | count  
-------------------------------------+--------+--------
 code-golf                           | 12.765 |     17
 r-faq                               |  8.029 |     35
 c++-faq                             |  7.591 |     22
 hungarian-notation                  |  7.333 |     12
 python-datamodel                    |  5.429 |     14
 delete-directory                    |  4.765 |     17
 iphone-softkeyboard                 |  4.765 |     17
 .net-3.0                            |  4.750 |     16
 dynamic-css                         |  4.750 |     12
 git-rm                              |  4.643 |     14
 angular-compiler                    |  4.636 |     11
 array-difference                    |  4.606 |     33
 prefix-operator                     |  4.500 |     12
 language-agnostic                   |  4.478 |   1032
 glossary                            |  4.471 |     17
 capitalization                      |  4.432 |     44
 working-copy                        |  4.333 |     12
 language-features                   |  4.272 |     92
 language-comparisons                |  4.263 |     19
 progress-indicator                  |  4.071 |     14
 project-management                  |  4.062 |    162
 using-statement                     |  4.036 |     56
 android-design-library              |  4.000 |     87
 software-quality                    |  4.000 |     25
 xcode9-beta                         |  3.960 |     25
 browser-tab                         |  3.933 |     15
 source-code-protection              |  3.913 |     23
 project-planning                    |  3.909 |     22
 y-combinator                        |  3.867 |     15
 agile                               |  3.838 |    130
 ctor-initializer                    |  3.833 |     12
 verbosity                           |  3.813 |     16
 knowledge-management                |  3.786 |     14
 apache-age                          |  3.778 |     36
 rich-internet-application           |  3.765 |     17
 xrange                              |  3.733 |     15
 gettype                             |  3.704 |     27
 paradigms                           |  3.689 |     45
 programming-languages               |  3.680 |    522
 design-decisions                    |  3.667 |     12
 method-hiding                       |  3.667 |     12
 interpreted-language                |  3.650 |     20
 phpdotenv                           |  3.636 |     11
 iphone-sdk-3.2                      |  3.625 |     16
 css-reset                           |  3.583 |     12
 switch-expression                   |  3.583 |     12
 premature-optimization              |  3.571 |     14
 usb-debugging                       |  3.568 |     37
 static-constructor                  |  3.563 |     16
 angular-cli-v6                      |  3.545 |     22
 language-design                     |  3.538 |    182
 ecma262                             |  3.538 |     13
 mysql-error-1093                    |  3.538 |     13
 nomenclature                        |  3.538 |     13
 defensive-programming               |  3.529 |     17
 time-format                         |  3.523 |     44
 automatic-properties                |  3.519 |     27
 methodology                         |  3.510 |     49
 android-studio-3.2                  |  3.500 |     12
 port80                              |  3.471 |     17
 static-initializer                  |  3.467 |     15
 embedded-language                   |  3.455 |     11
 serialversionuid                    |  3.455 |     11
 short-circuiting                    |  3.449 |     49
 maintainability                     |  3.432 |     37
 mobile-devices                      |  3.429 |     35
 jvm-languages                       |  3.429 |     21
 title-case                          |  3.417 |     12
 readability                         |  3.407 |     86
 presentation-layer                  |  3.385 |     13
 inline-functions                    |  3.375 |     16
 scroll-paging                       |  3.375 |     16
 trunk                               |  3.375 |     16
 web-standards                       |  3.368 |     38
 android-phone-call                  |  3.357 |     14
 terminology                         |  3.355 |    293
 rmdir                               |  3.333 |     18
 sparse-checkout                     |  3.316 |     19
 language-detection                  |  3.313 |     16
 function-qualifier                  |  3.308 |     13
 type-punning                        |  3.292 |     24
 loose-coupling                      |  3.286 |     28
 resource-management                 |  3.286 |     14
 puzzle                              |  3.272 |    103
 information-hiding                  |  3.250 |     16
 string-algorithm                    |  3.250 |     12
 cryptographic-hash-function         |  3.235 |     17
 array-splice                        |  3.233 |     30
 compound-assignment                 |  3.231 |     13
 n                                   |  3.231 |     13
 piracy                              |  3.231 |     13
 todo                                |  3.222 |     18
 coding-style                        |  3.217 |    950
 usability                           |  3.214 |     98
 tryparse                            |  3.211 |     38
 xcode10                             |  3.197 |    117
 object-serialization                |  3.188 |     16
 procedural-programming              |  3.179 |     28
 compiler-theory                     |  3.174 |     23
 git-status                          |  3.174 |     23
 null-coalescing-operator            |  3.167 |     24
 turing-complete                     |  3.158 |     19
 idioms                              |  3.125 |    160
 pydot                               |  3.125 |     16
 try-catch-finally                   |  3.123 |     57
 scrum                               |  3.118 |     85
 class-design                        |  3.116 |    138
 pretty-print                        |  3.111 |    126
 anti-patterns                       |  3.111 |     54
 haxm                                |  3.096 |     52
 base-class-library                  |  3.095 |     21
 drop-table                          |  3.095 |     21
 fizzbuzz                            |  3.093 |     43
 standards-compliance                |  3.091 |     55
 object-construction                 |  3.091 |     11
 http-status-code-415                |  3.083 |     12
 public-method                       |  3.080 |     25
 variable-names                      |  3.071 |     28
 firefox-3                           |  3.071 |     14
 flutter-doctor                      |  3.071 |     14
 letters                             |  3.069 |     29
 symbolicate                         |  3.067 |     15
 browser-detection                   |  3.054 |     56
 control-structure                   |  3.053 |     19
 comma-operator                      |  3.051 |     39
 man-in-the-middle                   |  3.038 |     26
 virtual-destructor                  |  3.037 |     27
 strikethrough                       |  3.033 |     30
 scripting-language                  |  3.032 |     31
 strong-typing                       |  3.020 |     51
 natural-sort                        |  3.000 |     40
 elementwise-operations              |  3.000 |     31
 die                                 |  3.000 |     27
 postfix-operator                    |  3.000 |     24
 logical-or                          |  3.000 |     18
 memcmp                              |  3.000 |     17
 organizer                           |  3.000 |     17
 android-studio-4.2                  |  3.000 |     15
 opencypher                          |  3.000 |     12
 trialware                           |  3.000 |     12
